topic_id,topic,system,passed_gate,first_principles_derivation,falsifiability,mechanism_clarity,novelty,experimentability,average_score,review_score,recommendation,output_path
T001,When should an agent discover a new skill rather than compose existing skills?,firstresearch,True,5,5,5,5,5,5.0,9,accept,outputs\reports\deepseek_packages\T001_firstresearch.json
T001,When should an agent discover a new skill rather than compose existing skills?,co_scientist,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T001_co_scientist.json
T001,When should an agent discover a new skill rather than compose existing skills?,agent_lab,True,3,5,4,3,5,4.0,7,borderline,outputs\reports\deepseek_packages\T001_agent_lab.json
T001,When should an agent discover a new skill rather than compose existing skills?,tree_search_scientist,True,4,5,4,4,5,4.4,8,accept,outputs\reports\deepseek_packages\T001_tree_search_scientist.json
T002,How should we measure agent process fidelity?,firstresearch,True,5,5,5,5,5,5.0,9,weak_accept,outputs\reports\deepseek_packages\T002_firstresearch.json
T002,How should we measure agent process fidelity?,co_scientist,True,4,5,3,4,4,4.0,7,weak_accept,outputs\reports\deepseek_packages\T002_co_scientist.json
T002,How should we measure agent process fidelity?,agent_lab,True,4,4,4,3,4,3.8,7,borderline,outputs\reports\deepseek_packages\T002_agent_lab.json
T002,How should we measure agent process fidelity?,tree_search_scientist,True,4,5,4,2,5,4.0,7,weak_accept,outputs\reports\deepseek_packages\T002_tree_search_scientist.json
T003,When does tool-use routing fail in coding agents?,firstresearch,True,4,5,5,2,5,4.2,7,weak_accept,outputs\reports\deepseek_packages\T003_firstresearch.json
T003,When does tool-use routing fail in coding agents?,co_scientist,True,4,5,3,3,5,4.0,8,borderline,outputs\reports\deepseek_packages\T003_co_scientist.json
T003,When does tool-use routing fail in coding agents?,agent_lab,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T003_agent_lab.json
T003,When does tool-use routing fail in coding agents?,tree_search_scientist,True,4,5,5,4,5,4.6,8,weak_accept,outputs\reports\deepseek_packages\T003_tree_search_scientist.json
T004,Can agent memory improve generalization or does it create retrieval interference?,firstresearch,True,5,5,5,5,5,5.0,9,accept,outputs\reports\deepseek_packages\T004_firstresearch.json
T004,Can agent memory improve generalization or does it create retrieval interference?,co_scientist,True,3,4,3,3,3,3.2,6,borderline,outputs\reports\deepseek_packages\T004_co_scientist.json
T004,Can agent memory improve generalization or does it create retrieval interference?,agent_lab,True,4,5,4,3,4,4.0,7,borderline,outputs\reports\deepseek_packages\T004_agent_lab.json
T004,Can agent memory improve generalization or does it create retrieval interference?,tree_search_scientist,True,4,5,3,4,5,4.2,7,weak_accept,outputs\reports\deepseek_packages\T004_tree_search_scientist.json
T005,How can we distinguish true agent planning from post-hoc explanation?,firstresearch,True,4,4,5,5,4,4.4,7,weak_accept,outputs\reports\deepseek_packages\T005_firstresearch.json
T005,How can we distinguish true agent planning from post-hoc explanation?,co_scientist,True,4,5,5,5,4,4.6,9,accept,outputs\reports\deepseek_packages\T005_co_scientist.json
T005,How can we distinguish true agent planning from post-hoc explanation?,agent_lab,True,4,4,3,4,4,3.8,7,borderline,outputs\reports\deepseek_packages\T005_agent_lab.json
T005,How can we distinguish true agent planning from post-hoc explanation?,tree_search_scientist,True,4,5,4,4,5,4.4,9,accept,outputs\reports\deepseek_packages\T005_tree_search_scientist.json
