section,metric,n,primary_mean,secondary_mean,mean_delta_secondary_minus_primary,delta_std,pearson,spearman,groups,mean_within_group_spearman,top_system_match_rate,system,primary_rank,secondary_rank,rank_delta_secondary_minus_primary
metric,average_score,40,4.345,4.42,0.07500000000000001,0.19332614929181202,0.8645773488976415,0.8942691277564365,,,,,,,
metric,novelty,40,3.9,4.125,0.225,0.5695392874947258,0.7224622392323106,0.7488923820113309,,,,,,,
metric,mechanism_clarity,40,4.125,4.275,0.15,0.47696960070847283,0.7452872263781395,0.7654032356621022,,,,,,,
metric,falsifiability,40,4.9,4.925,0.025,0.15612494995995996,0.8542421961772491,0.854242196177249,,,,,,,
metric,review_score,40,7.8,8.3,0.5,0.8062257748298549,0.46879058265883544,0.4689669851729693,,,,,,,
rank,average_score,,,,,,,,10,0.8878505426185218,0.8,,,,
rank,novelty,,,,,,,,10,0.6932652990377571,0.9,,,,
rank,mechanism_clarity,,,,,,,,10,0.6969649053554868,1.0,,,,
rank,falsifiability,,,,,,,,10,0.2577350269189626,1.0,,,,
rank,review_score,,,,,,,,10,0.4770856947829097,0.9,,,,
system,average_score,,4.12,4.16,0.040000000000000036,,,,,,,agent_lab,4.0,4.0,0.0
system,average_score,,4.18,4.28,0.10000000000000053,,,,,,,co_scientist,3.0,3.0,0.0
system,average_score,,4.76,4.859999999999999,0.09999999999999964,,,,,,,firstresearch,1.0,1.0,0.0
system,average_score,,4.32,4.38,0.05999999999999961,,,,,,,tree_search_scientist,2.0,2.0,0.0
system,novelty,,3.5,3.8,0.2999999999999998,,,,,,,agent_lab,4.0,3.0,-1.0
system,novelty,,3.9,4.0,0.10000000000000009,,,,,,,co_scientist,2.0,2.0,0.0
system,novelty,,4.5,5.0,0.5,,,,,,,firstresearch,1.0,1.0,0.0
system,novelty,,3.7,3.7,0.0,,,,,,,tree_search_scientist,3.0,4.0,1.0
system,mechanism_clarity,,3.8,3.9,0.10000000000000009,,,,,,,agent_lab,3.0,4.0,1.0
system,mechanism_clarity,,3.7,4.2,0.5,,,,,,,co_scientist,4.0,2.5,-1.5
system,mechanism_clarity,,5.0,4.8,-0.20000000000000018,,,,,,,firstresearch,1.0,1.0,0.0
system,mechanism_clarity,,4.0,4.2,0.20000000000000018,,,,,,,tree_search_scientist,2.0,2.5,0.5
system,falsifiability,,4.8,4.8,0.0,,,,,,,agent_lab,4.0,4.0,0.0
system,falsifiability,,4.9,4.9,0.0,,,,,,,co_scientist,2.5,3.0,0.5
system,falsifiability,,4.9,5.0,0.09999999999999964,,,,,,,firstresearch,2.5,1.5,-1.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,tree_search_scientist,1.0,1.5,0.5
system,review_score,,7.5,8.2,0.6999999999999993,,,,,,,agent_lab,4.0,3.0,-1.0
system,review_score,,7.8,8.5,0.7000000000000002,,,,,,,co_scientist,2.5,2.0,-0.5
system,review_score,,8.1,7.8,-0.2999999999999998,,,,,,,firstresearch,1.0,4.0,3.0
system,review_score,,7.8,8.7,0.8999999999999995,,,,,,,tree_search_scientist,2.5,1.0,-1.5
