run_id,topic_id,topic,system,replicate,passed_gate,first_principles_derivation,falsifiability,mechanism_clarity,novelty,experimentability,average_score,review_score,recommendation,output_path
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,firstresearch,1,True,4,5,5,5,5,4.8,7,weak_accept,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_firstresearch.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,no_certificate_ablation,1,False,1,2,1,1,2,1.4,3,reject,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_no_certificate_ablation.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,no_gate_repair_ablation,1,True,4,5,4,2,4,3.8,5,borderline,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_no_gate_repair_ablation.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,no_novelty_boundary_repair_ablation,1,True,5,5,5,3,5,4.6,8,weak_accept,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_no_novelty_boundary_repair_ablation.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,no_mechanism_model_ablation,1,True,4,5,5,5,5,4.8,7,weak_accept,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_no_mechanism_model_ablation.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,certificate_only_ablation,1,True,5,5,5,5,5,5.0,10,accept,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_certificate_only_ablation.json
rescore-20260628T221744Z,T001,When should an agent discover a new skill rather than compose existing skills?,no_self_improvement_ablation,1,True,4,5,5,5,5,4.8,8,borderline,outputs\reports\deepseek_ablation_repeated_packages\r01_T001_no_self_improvement_ablation.json
rescore-20260628T221744Z,T002,How should we measure agent process fidelity?,firstresearch,1,True,4,5,4,5,5,4.6,9,accept,outputs\reports\deepseek_ablation_repeated_packages\r01_T002_firstresearch.json
rescore-20260628T221744Z,T002,How should we measure agent process fidelity?,no_certificate_ablation,1,False,1,0,1,0,0,0.4,1,reject,outputs\reports\deepseek_ablation_repeated_packages\r01_T002_no_certificate_ablation.json
rescore-20260628T221744Z,T002,How should we measure agent process fidelity?,no_gate_repair_ablation,1,True,4,5,4,3,5,4.2,7,borderline,outputs\reports\deepseek_ablation_repeated_packages\r01_T002_no_gate_repair_ablation.json
